trade_date,option_symbol,underlying,type,expiration,d2x,strike,upx,bid,ask,mid,volume,open_interest,implied_forward,implied_vol,delta,atm_volatility,swap_rate
2013-08-16,SPY130921P00138000,SPY,put,2013-09-21,24,138,165.83,0.07,0.08,0.07500000000000001,2,13782,165.329,0.2742661697829862,0.014738627941957683,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00139000,SPY,put,2013-09-21,24,139,165.83,0.08,0.09,0.08499999999999999,339,14814,165.329,0.2696021334673393,0.016731903789735214,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00140000,SPY,put,2013-09-21,24,140,165.83,0.09,0.1,0.095,575,96322,165.329,0.26436880098498733,0.018805296564494478,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00141000,SPY,put,2013-09-21,24,141,165.83,0.1,0.11,0.10500000000000001,87,33191,165.329,0.25863235857252576,0.020964540403244802,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00142000,SPY,put,2013-09-21,24,142,165.83,0.11,0.12,0.11499999999999999,3697,56233,165.329,0.25246495309696715,0.0232248570278224,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00143000,SPY,put,2013-09-21,24,143,165.83,0.13,0.14,0.135,1492,44489,165.329,0.24913012884087207,0.027075498654056007,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00144000,SPY,put,2013-09-21,24,144,165.83,0.15,0.16,0.155,120,28631,165.329,0.24485058229256326,0.03103979217754671,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00145000,SPY,put,2013-09-21,24,145,165.83,0.16,0.17,0.165,601,60013,165.329,0.23723894186215366,0.033724045721596596,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00146000,SPY,put,2013-09-21,24,146,165.83,0.19,0.2,0.195,274,28929,165.329,0.23411915279017595,0.03946317437449809,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00147000,SPY,put,2013-09-21,24,147,165.83,0.21,0.22,0.215,534,40284,165.329,0.22784133057759007,0.04397458110903696,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00148000,SPY,put,2013-09-21,24,148,165.83,0.24,0.25,0.245,3328,28751,165.329,0.22301706189547202,0.05016918990875241,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00149000,SPY,put,2013-09-21,24,149,165.83,0.27,0.28,0.275,3486,31468,165.329,0.2174017139707604,0.05665008249666714,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00150000,SPY,put,2013-09-21,24,150,165.83,0.31,0.32,0.315,14411,175271,165.329,0.21264349177285796,0.06481644573778089,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00151000,SPY,put,2013-09-21,24,151,165.83,0.35,0.36,0.355,8672,50098,165.329,0.20704666318560586,0.07342078206461089,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00152000,SPY,put,2013-09-21,24,152,165.83,0.4,0.41,0.405,1319,29258,165.329,0.2019267568435764,0.08378711579644582,0.14138240128713786,0.15232869677035032
2013-08-16,SPY130921P00153000,SPY,put,2013-09-21,24,153,165.83,0.46,0.47,0.46499999999999997,1581,29703,165.329,0.1970913259758141,0.09601834962707989,0.14138240128713786,0.15232869677035032
