underlying,daily_volume,avg_spread
SPY,425192.38679245283,0.013749597682652076
IWM,106789.32075471699,0.017249793217535152
QQQ,76885.90566037736,0.011534263189812008
EEM,75644.93396226416,0.02129220023282887
GLD,29663.69811320755,0.016889394370201878
XLF,29158.603773584906,0.015235732009925559
FXI,25735.877358490565,0.019492840095465393
EWZ,18511.867924528302,0.022732527588018917
GDX,15900.962264150943,0.018914826498422715
SLV,14123.311320754718,0.011431750741839762
USO,13782.650943396226,0.011446776611694154
XOP,13531.16037735849,0.028164414414414415
DIA,12616.584905660377,0.040240427426536066
EFA,12115.084905660377,0.025954063604240282
TLT,11650.537735849057,0.022784290738569753
XLE,11470.72641509434,0.04710851648351648
IYR,11075.490566037735,0.024629934210526318
TBT,6918.047169811321,0.02776039522437217
XRT,6376.773584905661,0.039763832658569497
SDS,5952.462264150943,0.018605645851154835
XLU,5814.056603773585,0.027304347826086955
TZA,5150.971698113208,0.019188982402448356
EWJ,5092.396226415094,0.013251028806584362
TNA,4943.084905660377,0.044413344642352276
UNG,4908.952830188679,0.017531380753138075
XLI,4397.83962264151,0.03166666666666667
FAS,4346.61320754717,0.04219023426474739
XLP,4330.2830188679245,0.028680555555555556
DXJ,3705.990566037736,0.07955434782608696
XHB,3042.4811320754716,0.02612781954887218
EWW,3027.5283018867926,0.030010593220338982
XLB,2801.433962264151,0.034021447721179626
OIH,2776.169811320755,0.07263157894736842
SSO,2702.188679245283,0.039701548923309404
XLK,2218,0.023078393881453156
HYG,2138.764150943396,0.08475609756097562
XLV,2047.1415094339623,0.03686046511627907
ITB,2022.3867924528302,0.07253694581280788
NUGT,2014.8584905660377,0.2622315035799523
XLY,1942.4528301886792,0.03581151832460733
FAZ,1829.9245283018868,0.024790874524714828
XME,1828.5283018867924,0.05779661016949152
FXE,1529.0283018867924,0.02289758534554538
AGQ,1359.754716981132,0.07644320297951583
IBB,1340.1415094339623,0.14933333333333332
MDY,1280.5754716981132,0.20673076923076922
EWY,1255.7075471698113,0.041866226259289846
SPXU,1091.2830188679245,0.075625
DUST,1080.066037735849,0.17420424403183024
FXY,999.433962264151,0.073303457106274
KRE,987.4905660377359,0.0311287988422576
TQQQ,927.7641509433962,0.18371684867394697
QID,910.7735849056604,0.02047787610619469
GDXJ,869.9433962264151,0.09847204161248374
VWO,859.7169811320755,0.08116169544740974
RSX,717.3301886792453,0.0803116147308782
EPI,683.9716981132076,0.07798353909465021
ERX,629.7358490566038,0.1392
EWT,591.1792452830189,0.027386934673366836
EWG,542.877358490566,0.07532188841201717
SCO,536.3679245283018,0.09809468822170901
UUP,509.39622641509436,0.012727272727272728
QLD,496.22641509433964,0.0636986301369863
EDC,485.37735849056605,0.10332845647403072
SQQQ,480.3490566037736,0.08078358208955223
TMV,468.3490566037736,0.14691129883843718
UPRO,451.24528301886795,0.13717086834733894
UCO,434.7641509433962,0.10255208333333334
ZSL,380.0377358490566,0.23233937903473717
ACT,358.29245283018867,0.1392757660167131
BOIL,335.6320754716981,0.15281368821292776
IWO,321.1981132075472,0.17330282227307398
JNK,287.47169811320754,0.06949685534591195
SPXL,284.47169811320754,0.13546069315300086
TWM,220.76415094339623,0.0782442748091603
DXD,207.83962264150944,0.08434237995824635
IYT,205.18867924528303,0.11317164179104477
SPXS,198.43396226415095,0.1414079822616408
YCS,195.20754716981133,0.1298759864712514
TAN,149.77358490566039,0.16080550098231827
VNQ,138.9056603773585,0.11431535269709543
SH,128.97169811320754,0.07269938650306748
IVV,125.55660377358491,0.17972582972582973
TECL,121.75471698113208,0.24576682859125606
DVY,120.65094339622641,0.09521829521829521
EDZ,117.83962264150944,0.2136890951276102
IAU,115.29245283018868,0.061057692307692306
LQD,114.37735849056604,0.11656184486373165
IJH,85.79245283018868,0.19292294807370183
GLL,84.16037735849056,0.23584543125533733
DRN,83.91509433962264,0.2495531724754245
DDM,83.80188679245283,0.21902985074626866
AMJ,83.79245283018868,0.18495934959349594
SIL,73.14150943396227,0.10407801418439716
VTI,67.05660377358491,0.14569444444444443
VB,53.679245283018865,0.13874856486796786
TTT,50.556603773584904,0.3227766463000679
AMLP,41.93396226415094,0.06907894736842106
KOL,24.462264150943398,0.11746411483253588
VEU,22.735849056603772,0.19094955489614243
